State,WeightedAverage,Rank
New Hampshire,1.468256736654717,1.0
Idaho,1.4677523244067503,2.0
New Mexico,1.425643525080605,3.0
Massachusetts,1.3852402524966645,4.0
Wisconsin,1.3808178804611995,5.0
South Carolina,1.3797991564378693,6.0
Oregon,1.357360172360831,7.0
Arizona,1.3546964985944414,8.0
Mississippi,1.348088574390546,9.0
Delaware,1.3395818498692893,10.0
North Carolina,1.3350332302097847,11.0
Michigan,1.3312938311707032,12.0
Colorado,1.3263069618148267,13.0
Maryland,1.3242163186786193,14.0
Pennsylvania,1.3046546576443379,15.0
Arkansas,1.3044713590814376,16.0
Illinois,1.2954224635972398,17.0
West Virginia,1.292471643605833,18.0
Wyoming,1.280277089628283,19.0
New York,1.2742783244627485,20.0
District of Columbia,1.2735322419107362,21.0
Florida,1.2697698057574425,22.0
Washington,1.2659351607748126,23.0
Utah,1.263320213613572,24.0
Indiana,1.2553441169130406,25.0
Nevada,1.238608173033009,26.0
Rhode Island,1.238140325454564,27.0
Kentucky,1.234367138010749,28.0
New Jersey,1.231121343349537,29.0
Vermont,1.2284176515233658,30.0
Minnesota,1.2260840032014477,31.0
Tennessee,1.2238382354541408,32.0
Oklahoma,1.2168896136165988,33.0
Connecticut,1.2007789193443674,34.0
Hawaii,1.1934674350631458,35.0
Nebraska,1.1839666311992325,36.0
Georgia,1.1739335027779605,37.0
Alaska,1.17266514327291,38.0
Texas,1.1636441655154393,39.0
Maine,1.142983667928699,40.0
Iowa,1.1357555618210713,41.0
North Dakota,1.1211916226454572,42.0
South Dakota,1.1173416919281633,43.0
Kansas,1.1103791415413813,44.0
Virginia,1.102012220817531,45.0
Ohio,1.1002941176470582,46.0
Louisiana,1.0949852955621244,47.0
California,1.0940783367476743,48.0
Missouri,1.0593529182838448,49.0
Montana,1.0132007992007992,50.0
Alabama,0.024,51.0
